Entity,Code,Date,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations"
Afghanistan,AFG,5/28/2020,615.85714,
Afghanistan,AFG,5/29/2020,622.85714,
Afghanistan,AFG,5/30/2020,634.71429,
Afghanistan,AFG,5/31/2020,646.71429,
Afghanistan,AFG,6/1/2020,660.42857,
Afghanistan,AFG,6/2/2020,653.85714,
Afghanistan,AFG,6/3/2020,668.28571,
Afghanistan,AFG,6/4/2020,687.28571,
Afghanistan,AFG,6/5/2020,716.85714,
Afghanistan,AFG,6/6/2020,758.57143,
Afghanistan,AFG,6/7/2020,718,
Afghanistan,AFG,6/8/2020,733.85714,
Afghanistan,AFG,6/9/2020,738.14286,
Afghanistan,AFG,6/10/2020,707.14286,
Afghanistan,AFG,6/11/2020,696.57143,
Afghanistan,AFG,6/12/2020,690.85714,
Afghanistan,AFG,6/13/2020,653.85714,
Afghanistan,AFG,6/14/2020,650.14286,
Afghanistan,AFG,6/15/2020,632,
Afghanistan,AFG,6/16/2020,658.57143,
Afghanistan,AFG,6/17/2020,693,
Afghanistan,AFG,6/18/2020,675.85714,
Afghanistan,AFG,6/19/2020,663.14286,
Afghanistan,AFG,6/20/2020,618.85714,
Afghanistan,AFG,6/21/2020,617.42857,
Afghanistan,AFG,6/22/2020,581,
Afghanistan,AFG,6/23/2020,516.57143,
Afghanistan,AFG,6/24/2020,453,
Afghanistan,AFG,6/25/2020,405.85714,
Afghanistan,AFG,6/26/2020,377.57143,
Afghanistan,AFG,6/27/2020,367.57143,
Afghanistan,AFG,6/28/2020,313.14286,
Afghanistan,AFG,6/29/2020,304.85714,
Afghanistan,AFG,6/30/2020,299.28571,
Afghanistan,AFG,7/1/2020,290.85714,
Afghanistan,AFG,7/2/2020,303,
Afghanistan,AFG,7/3/2020,263.85714,
Afghanistan,AFG,7/4/2020,267.57143,
Afghanistan,AFG,7/5/2020,293.71429,
Afghanistan,AFG,7/6/2020,283.42857,
Afghanistan,AFG,7/7/2020,306.57143,
Afghanistan,AFG,7/8/2020,296.71429,
Afghanistan,AFG,7/9/2020,259.57143,
Afghanistan,AFG,7/10/2020,269.42857,
Afghanistan,AFG,7/11/2020,291.71429,
Afghanistan,AFG,7/12/2020,254.14286,
Afghanistan,AFG,7/13/2020,214.28571,
Afghanistan,AFG,7/14/2020,153,
Afghanistan,AFG,7/15/2020,163.71429,
Afghanistan,AFG,7/16/2020,191.57143,
Afghanistan,AFG,7/17/2020,166,
Afghanistan,AFG,7/18/2020,131.85714,
Afghanistan,AFG,7/19/2020,121.42857,
Afghanistan,AFG,7/20/2020,146.28571,
Afghanistan,AFG,7/21/2020,165.71429,
Afghanistan,AFG,7/22/2020,141,
Afghanistan,AFG,7/23/2020,131.57143,
Afghanistan,AFG,7/24/2020,122.57143,
Afghanistan,AFG,7/25/2020,106.71429,
Afghanistan,AFG,7/26/2020,122.28571,
Afghanistan,AFG,7/27/2020,112.57143,
Afghanistan,AFG,7/28/2020,107.57143,
Afghanistan,AFG,7/29/2020,106.28571,
Afghanistan,AFG,7/30/2020,79.42857,
Afghanistan,AFG,7/31/2020,87.71429,
Afghanistan,AFG,8/1/2020,96.28571,
Afghanistan,AFG,8/2/2020,79,
Afghanistan,AFG,8/3/2020,63.85714,
Afghanistan,AFG,8/4/2020,54.14286,
Afghanistan,AFG,8/5/2020,51.14286,
Afghanistan,AFG,8/6/2020,60.71429,
Afghanistan,AFG,8/7/2020,56.42857,
Afghanistan,AFG,8/8/2020,43.57143,
Afghanistan,AFG,8/9/2020,49.14286,
Afghanistan,AFG,8/10/2020,49.14286,
Afghanistan,AFG,8/11/2020,43.85714,
Afghanistan,AFG,8/12/2020,62.85714,
Afghanistan,AFG,8/13/2020,64.14286,
Afghanistan,AFG,8/14/2020,69.57143,
Afghanistan,AFG,8/15/2020,59.42857,
Afghanistan,AFG,8/16/2020,71,
Afghanistan,AFG,8/17/2020,77.42857,
Afghanistan,AFG,8/18/2020,77.85714,
Afghanistan,AFG,8/19/2020,47.14286,
Afghanistan,AFG,8/20/2020,59.14286,
Afghanistan,AFG,8/21/2020,61.71429,
Afghanistan,AFG,8/22/2020,66.14286,
Afghanistan,AFG,8/23/2020,64,
Afghanistan,AFG,8/24/2020,57.57143,
Afghanistan,AFG,8/25/2020,67.28571,
Afghanistan,AFG,8/26/2020,67.42857,
Afghanistan,AFG,8/27/2020,52.42857,
Afghanistan,AFG,8/28/2020,39,
Afghanistan,AFG,8/29/2020,35.14286,
Afghanistan,AFG,8/30/2020,20.57143,
Afghanistan,AFG,8/31/2020,23.28571,
Afghanistan,AFG,9/1/2020,18,
Afghanistan,AFG,9/2/2020,19.14286,
Afghanistan,AFG,9/3/2020,16.71429,
Afghanistan,AFG,9/4/2020,22.71429,
Afghanistan,AFG,9/5/2020,23.42857,
Afghanistan,AFG,9/6/2020,25.85714,
Afghanistan,AFG,9/7/2020,33.71429,
Afghanistan,AFG,9/8/2020,42.57143,
Afghanistan,AFG,9/9/2020,45,
Afghanistan,AFG,9/10/2020,43,
Afghanistan,AFG,9/11/2020,40.57143,
Afghanistan,AFG,9/12/2020,43.14286,
Afghanistan,AFG,9/13/2020,45.28571,
Afghanistan,AFG,9/14/2020,45.42857,
Afghanistan,AFG,9/15/2020,45.85714,
Afghanistan,AFG,9/16/2020,47.85714,
Afghanistan,AFG,9/17/2020,46.85714,
Afghanistan,AFG,9/18/2020,42.85714,
Afghanistan,AFG,9/19/2020,44.71429,
Afghanistan,AFG,9/20/2020,57.57143,
Afghanistan,AFG,9/21/2020,46.85714,
Afghanistan,AFG,9/22/2020,37,
Afghanistan,AFG,9/23/2020,41.42857,
Afghanistan,AFG,9/24/2020,42.57143,
Afghanistan,AFG,9/25/2020,44.85714,
Afghanistan,AFG,9/26/2020,39,
Afghanistan,AFG,9/27/2020,26.14286,
Afghanistan,AFG,9/28/2020,26.14286,
Afghanistan,AFG,9/29/2020,23.57143,
Afghanistan,AFG,9/30/2020,15.57143,
Afghanistan,AFG,10/1/2020,14,
Afghanistan,AFG,10/2/2020,14.14286,
Afghanistan,AFG,10/3/2020,14,
Afghanistan,AFG,10/4/2020,10,
Afghanistan,AFG,10/5/2020,16.28571,
Afghanistan,AFG,10/6/2020,35.28571,
Afghanistan,AFG,10/7/2020,42,
Afghanistan,AFG,10/8/2020,49.71429,
Afghanistan,AFG,10/9/2020,58.28571,
Afghanistan,AFG,10/10/2020,59,
Afghanistan,AFG,10/11/2020,58,
Afghanistan,AFG,10/12/2020,65.42857,
Afghanistan,AFG,10/13/2020,63.14286,
Afghanistan,AFG,10/14/2020,63.71429,
Afghanistan,AFG,10/15/2020,58.57143,
Afghanistan,AFG,10/16/2020,47.57143,
Afghanistan,AFG,10/17/2020,52.85714,
Afghanistan,AFG,10/18/2020,62.57143,
Afghanistan,AFG,10/19/2020,57.28571,
Afghanistan,AFG,10/20/2020,51.28571,
Afghanistan,AFG,10/21/2020,54.42857,
Afghanistan,AFG,10/22/2020,69.14286,
Afghanistan,AFG,10/23/2020,85.71429,
Afghanistan,AFG,10/24/2020,87.71429,
Afghanistan,AFG,10/25/2020,89.57143,
Afghanistan,AFG,10/26/2020,90.42857,
Afghanistan,AFG,10/27/2020,106.42857,
Afghanistan,AFG,10/28/2020,110,
Afghanistan,AFG,10/29/2020,90.71429,
Afghanistan,AFG,10/30/2020,91.71429,
Afghanistan,AFG,10/31/2020,105.42857,
Afghanistan,AFG,11/1/2020,104.71429,
Afghanistan,AFG,11/2/2020,114.28571,
Afghanistan,AFG,11/3/2020,99.42857,
Afghanistan,AFG,11/4/2020,95.57143,
Afghanistan,AFG,11/5/2020,112.85714,
Afghanistan,AFG,11/6/2020,101,
Afghanistan,AFG,11/7/2020,86.85714,
Afghanistan,AFG,11/8/2020,94,
Afghanistan,AFG,11/9/2020,86.57143,
Afghanistan,AFG,11/10/2020,105,
Afghanistan,AFG,11/11/2020,92.71429,
Afghanistan,AFG,11/12/2020,96.28571,
Africa,,1/2/2020,0,
Africa,,1/3/2020,0,
Africa,,1/4/2020,0,
Africa,,1/5/2020,0,
Africa,,1/6/2020,0,
Africa,,1/7/2020,0,
Africa,,1/8/2020,0,
Africa,,1/9/2020,0,
Africa,,1/10/2020,0,
Africa,,1/11/2020,0,
Africa,,1/12/2020,0,
Africa,,1/13/2020,0,
Africa,,1/14/2020,0,
Africa,,1/15/2020,0,
Africa,,1/16/2020,0,
Africa,,1/17/2020,0,
Africa,,1/18/2020,0,
Africa,,1/19/2020,0,
Africa,,1/20/2020,0,
Africa,,1/21/2020,0,
Africa,,1/22/2020,0,
Africa,,1/23/2020,0,
